prima_asigurare,tip_plata,suma,tip_polita
957,OP,478,1
991,OP,496,1
991,OP,495,1
646,OP,323,1
646,OP,323,1
738,OP,369,1
738,OP,369,1
1222,OP,611,1
1222,OP,611,1
957,OP,479,1
957,OP,478,1
991,OP,496,1
991,OP,495,1
738,OP,369,1
738,OP,369,1
2166,OP,1083,1
2166,OP,1083,1
957,OP,479,1
957,OP,478,1
957,OP,479,1
957,OP,478,1
957,OP,479,1
957,OP,478,1
202,OP,149.48,3
202,OP,143.04,3
202,OP,151.53,3
202,OP,167.6,3
2464,OP,2646.77,3
2464,OP,2535.89,3
2464,OP,2547.47,3
2464,OP,2623.91,3
2916,OP,3132.29,3
2916,OP,3001.07,3
2916,OP,3014.78,3
2916,OP,3105.25,3
2239,OP,2393.95,3
2239,OP,2301.24,3
2239,OP,2311.74,3
2239,OP,2381.12,3
218,OP,923.73,3
229,OP,970.34,3
414,OP,1754.24,3
1957,OP,2076.28,3
1957,OP,2018.1,3
1957,OP,2047.83,3
1733,OP,1863.08,2
1733,OP,1782.53,2
1733,OP,1790.67,2
1733,OP,1844.41,2
671,OP,727.8,2
671,OP,687.49,2
671,OP,690.63,2
671,OP,711.35,2
563,OP,612.2,2
563,OP,576.34,2
563,OP,578.97,2
563,OP,596.34,2
657,OP,705.84,2
657,OP,675.14,2
657,OP,678.22,2
657,OP,698.57,2
12996,OP,4653.43,2
12996,OP,4613.15,2
12996,OP,4654.52,2
12996,OP,4602.32,2
12996,OP,4458.39,2
12996,OP,4469.54,2
12996,OP,4432.61,2
12996,OP,4478.75,2
12996,OP,4535.39,2
12996,OP,4731.41,2
1015,OP,1015,1
1015,OP,1015,1
1015,OP,1015,1
1218,OP,459.69,2
1218,OP,430.22,2
1218,OP,431.65,2
1218,OP,429.21,2
1218,OP,415.79,2
1218,OP,416.83,2
1218,OP,413.38,2
1218,OP,417.69,2
1218,OP,422.97,2
1218,OP,426.56,2
1222,OP,611,3
12,CASH,12,4
12,CASH,12,4
36,CASH,36,4
36,CASH,36,4
356,OP,157.8,5
356,OP,279.87,5
356,OP,123.94,5
356,OP,123.24,5
356,OP,119.38,5
356,OP,119.68,5
356,OP,118.69,5
356,OP,119.93,5
356,OP,121.45,5
356,OP,122.48,5
1472,OP,554.42,5
1472,OP,521.4,5
1472,OP,518.45,5
1472,OP,502.24,5
1472,OP,503.49,5
1472,OP,499.33,5
1472,OP,504.53,5
1472,OP,510.91,5
1472,OP,515.25,5
196,OP,208.38,5
300,OP,1273.41,5
500,OP,250,5
500,OP,250,5
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
573,CASH,2409.24,2
573,CASH,2409.24,2
585,CASH,2459.69,2
585,CASH,2459.69,2
770,OP,324.42,2
770,OP,325.18,2
770,OP,323.25,2
770,OP,330.64,2
770,OP,330.93,2
770,OP,327.22,2
770,OP,316.99,2
770,OP,317.78,2
770,OP,315.15,2
770,OP,318.43,2
160,CASH,160,4
160,CASH,160,4
27,CASH,27,4
27,CASH,27,4
27,CASH,27,4
27,CASH,27,4
58,CASH,58,4
58,CASH,58,4
701,OP,2948,2
984,CASH,984,1
984,CASH,984,1
762,CASH,762,1
762,CASH,762,1
46.5,CASH,46.5,4
46.5,CASH,46.5,4
46.5,CASH,46.5,4
46.5,CASH,46.5,4
48.5,CASH,48.5,4
48.5,CASH,48.5,4
27,CASH,27,4
27,CASH,27,4
774,CASH,774,1
774,CASH,774,1
524,CASH,524,1
524,CASH,524,1
251,CASH,251,1
251,CASH,251,1
975,CASH,975,1
975,CASH,975,1
395,CASH,395,1
395,CASH,395,1
